SKU;Название модели;Категория;Цена;Дата поступления;В наличии;Рейтинг
ART-1001;Apple iPhone 15 Pro;Смартфон;125000;22.09.2023;ИСТИНА;4,9
ART-1002;Samsung Galaxy S24 Ultra;Смартфон;135000;30.01.2024;ИСТИНА;4,8
ART-1003;Xiaomi 14 Ultra;Смартфон;110000;15.03.2024;ЛОЖЬ;4,7
ART-1004;Google Pixel 8 Pro;Смартфон;95000;12.10.2023;ИСТИНА;4,6
ART-1005;Asus ROG Phone 8;Смартфон;105000;10.02.2024;ИСТИНА;4,8
ART-1006;Apple MacBook Pro 14 (M3);Ноутбук;195000;07.11.2023;ИСТИНА;4,9
ART-1007;ASUS Zenbook 14 OLED;Ноутбук;115000;15.01.2024;ЛОЖЬ;4,5
ART-1008;HP Spectre x360;Ноутбук;145000;05.12.2023;ИСТИНА;4,7
ART-1009;Lenovo Legion Slim 5;Ноутбук;130000;20.02.2024;ИСТИНА;4,4
ART-1010;HUAWEI MateBook X Pro;Ноутбук;160000;05.04.2024;ИСТИНА;4,8
ART-1011;LG OLED C3 55;ТВ;155000;15.05.2023;ИСТИНА;4,9
ART-1012;Samsung Neo QLED 65;ТВ;185000;20.08.2023;ЛОЖЬ;4,7
ART-1013;Sony BRAVIA XR A80L;ТВ;210000;10.10.2023;ИСТИНА;4,8
ART-1014;Hisense 55U8KQ;ТВ;85000;12.01.2024;ИСТИНА;4,3
ART-1015;TCL 65C845;ТВ;95000;25.11.2023;ИСТИНА;4,5
ART-1016;Samsung Galaxy A54;Смартфон;35000;10.04.2023;ИСТИНА;4,4
ART-1017;MSI Katana 17;Ноутбук;110000;15.12.2023;ИСТИНА;4,2
ART-1018;Philips 55OLED808;ТВ;140000;01.02.2024;ЛОЖЬ;4,6
ART-1019;Apple MacBook Air 15 (M2);Ноутбук;135000;13.06.2023;ИСТИНА;4,9
ART-1020;Xiaomi Redmi Note 13 Pro;Смартфон;32000;01.03.2024;ИСТИНА;4,5
