Column1;Column2;Column3;Column4;Column5;Column6;Column7
SKU-001;iPhone 15 Pro;Смартфон;99990;2024-09-20;100;4.8
SKU-002;Samsung Galaxy S24;Смартфон;89990;2024-02-10;45;4.7
SKU-003;MacBook Air M3;Ноутбук;-5000;2024-06-15;12;4.9
SKU-004;Sony Bravia X90;ТВ;120000;вчера;5;8.5
SKU-005;Xiaomi Pad 6;Планшет;35000;2024-03-01;0;4.3
SKU-006;LG OLED C3;ТВ;150000;2024-11-20;8;4.9
SKU-007;Asus ROG Zephyrus;Ноутбук;0;2024-08-30;3;отлично
SKU-008;Google Pixel 8;Смартфон;59990;2024-05-12;22;4.6
SKU-009;Dell XPS 13;Ноутбук;135000;12 января 2024;7;5.2
SKU-010;Samsung QN90C;ТВ;;2024-10-01;2;4.7
SKU-011;OnePlus 12;Смартфон;64990;2024-09-05;15;4.8
SKU-012;Acer Nitro 5;Ноутбук;89000;2024-07-19;0;4.4
SKU-013;Apple Watch Ultra;Носимые;;2024-04-22;50;4.9
SKU-014;Huawei MateBook D;Ноутбук;52000;2024-12-01;6;4.2
SKU-015;Xiaomi Mi TV A2;ТВ;27000;2024-01-15;33;4.5
