SKU;Название модели;Категория;Цена;Дата поступления;В наличии;Рейтинг
SKU-1000;iPhone 15;Ноутбук;101313.0;07.09.2024;ИСТИНА;4.9
SKU-1001;Samsung S24;Ноутбук;null;08.05.2024;ЛОЖЬ;4.9
SKU-1002;MacBook Air;Смартфон;47275.0;22.06.2024;ЛОЖЬ;3.5
SKU-1003;Xiaomi 13;null;66057.0;08.02.2024;ИСТИНА;4.8
SKU-1004;LG OLED TV;null;50752.0;16.12.2024;ИСТИНА;4.7
SKU-1005;Dell UltraSharp;ТВ;71511.0;27.04.2024;ЛОЖЬ;4.1
SKU-1006;Asus ROG;null;74266.0;12.01.2024;ИСТИНА;4.3
SKU-1007;Sony Bravia;Ноутбук;63776.0;08.09.2024;ЛОЖЬ;4.8
SKU-1008;iPad Pro;null;141870.0;02.03.2024;ИСТИНА;null
SKU-1009;HP Pavilion;null;127452.0;01.12.2024;ЛОЖЬ;5.0
SKU-1010;Lenovo ThinkPad;null;null;09.05.2024;ЛОЖЬ;4.9
SKU-1011;MSI Katana;Смартфон;73339.0;08.05.2024;ЛОЖЬ;4.7
SKU-1012;Huawei P60;ТВ;118808.0;09.05.2024;ИСТИНА;null
SKU-1013;Realme GT;null;62997.0;;ИСТИНА;4.3
SKU-1014;Google Pixel 8;Ноутбук;18938.0;18.05.2024;ЛОЖЬ;4.1
